"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Nepeta cantabrica Ubera & Valdés",".","Lamiaceae","CM","Hemicryptophyte","Nepeta cantabrica",".","Nepeta","cantabrica",NA,NA,"Ubera & Valdés","VU",".",".",".",".",NA,NA,NA,NA,"Native - new",1711,"34.7. Onopordion acanthii","Nepeta caerulea","Nepeta caerulea Aiton","Nepeta","","caerulea","","","Aiton","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Nepeta cataria L.",".","Lamiaceae",".","Hemicryptophyte","Nepeta cataria",".","Nepeta","cataria",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1712,"34.1. Arction lappae","Nepeta cataria","Nepeta cataria L.","Nepeta","","cataria","","","L.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,5,6,6
"+","Nepeta nepetella subsp. aragonensis (Lam.) Nyman",".","Lamiaceae",".","Hemicryptophyte","Nepeta nepetella subsp. aragonensis",".","Nepeta","nepetella","subsp.","aragonensis","(Lam.) Nyman",".",".",".",".",".",NA,NA,NA,"LC: En principio esta sería la única subespecie cantábrica.","Native",1714,"34B. Onopordenea acanthii","Nepeta nepetella","Nepeta nepetella subsp. aragonensis (Lam.) Nyman","Nepeta","","nepetella","subsp.","aragonensis","(Lam.) Nyman","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",4,6,8,3,8,7
"+","Nepeta tuberosa L.",".","Lamiaceae",".","Hemicryptophyte","Nepeta tuberosa",".","Nepeta","tuberosa",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1717,"39aCentaureetalia cyani","Nepeta tuberosa","Nepeta tuberosa L.","Nepeta","","tuberosa","","","L.","Lamiaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Neslia paniculata subsp. thracica (Velen.) Bornm.",".","Brassicaceae",".","Therophyte","Neslia paniculata subsp. thracica",".","Neslia","paniculata","subsp.","thracica","(Velen.) Bornm.",".",".",".",".",".",NA,NA,NA,NA,"Native",1718,".","Neslia paniculata","Neslia paniculata subsp. thracica (Velen.) Bornm.","Neslia","","paniculata","subsp.","thracica","(Velen.) Bornm.","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,6,7,7
"+","Noccaea stenoptera (Boiss. & Reut.) F. K. Mey.",".","Brassicaceae",".","Hemicryptophyte","Noccaea stenoptera",".","Noccaea","stenoptera",NA,NA,"(Boiss. & Reut.) F. K. Mey.",".",".",".",".",".",NA,NA,NA,NA,"Native",1723,"3.2. Nymphaeion albae","Noccaea stenoptera","Noccaea stenoptera (Boiss. & Reut.) F.K. Mey.","Noccaea","","stenoptera","","","(Boiss. & Reut.) F.K. Mey.","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Bartsia spicata Ramond",".","Orobanchaceae","CM+PY","Hemicryptophyte","Bartsia spicata",".","Bartsia","spicata",NA,NA,"Ramond","VU",".",".",".",".",NA,NA,NA,NA,"Native",351,"En Festuco valesiacae-Brometea erecti","Nothobartsia spicata","Nothobartsia spicata (Ramond) Bolliger & Molau","Nothobartsia","","spicata","","","(Ramond) Bolliger & Molau","Orobanchaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",7,5,8,4,6,5
"+","Nuphar pumila (Timm) DC.",".","Nymphaeaceae",".","Hydrophyte","Nuphar pumila",".","Nuphar","pumila",NA,NA,"(Timm) DC.","VU","Sensibles a la alteración de su hábitat",".",".",".","y",NA,NA,NA,"Native",1724,"38a. Polygono-Poetalia annuae","Nuphar pumila","Nuphar pumila (Timm) DC.","Nuphar","","pumila","","","(Timm) DC.","Nymphaeaceae","Nymphaeales","Magnoliopsida","Nymphaeales","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Ochlopoa supina (Schrad.) H. Scholz & Valdés",".","Poaceae",".","Hemicryptophyte","Ochlopoa supina",".","Ochlopoa","supina",NA,NA,"(Schrad.) H. Scholz & Valdés",".",".",".",".",".",NA,NA,NA,NA,"Native",1727,"52. Festuco hystricis-Ononidetea striatae","Ochlopoa supina","Ochlopoa supina (Schrad.) H.Scholz & Valdés","Ochlopoa","","supina","","","(Schrad.) H.Scholz & Valdés","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Odontites tenuifolia (Pers.) G. Don",".","Orobanchaceae",".","Therophyte","Odontites tenuifolia",".","Odontites","tenuifolia",NA,NA,"(Pers.) G. Don",".",".",".",".",".",NA,NA,NA,NA,"Native",1732,"39.4. Scleranthion annui","Odontitella virgata","Odontitella virgata (Link) Rothm.","Odontitella","","virgata","","","(Link) Rothm.","Orobanchaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,3,6,6
"+","Odontites vernus (Bellardi) Dumort.",".","Orobanchaceae",".","Therophyte","Odontites vernus",".","Odontites","vernus",NA,NA,"(Bellardi) Dumort.",".",".",".",".",".",NA,NA,NA,"LC: Euro+Med no reconoce esa subespecie, que en todo caso no veo por qué habría de ser la que se encontrase por aquí. Cabría plantearse la posibilidad de distinguir los linajes tetraploides de los diploides, pero como se comenta ampliamente en Flora iberica es un problema muy enrevesado en el que vale más no meterse, y es mejor quedarse con Odontites vernus a secas. RA: Sí, mejor dejar O. vernus sin más","Native",1733,".","Odontites vernus","Odontites vernus subsp. salinus (Kotov) N.Andreev","Odontites","","vernus","subsp.","salinus","(Kotov) N.Andreev","Orobanchaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",7,4,7,5,6,6
"+","Odontites viscosus subsp. australis (Boiss.) Maire",".","Orobanchaceae",".","Therophyte","Odontites viscosus subsp. australis",".","Odontites","viscosus","subsp.","australis","(Boiss.) Maire",".",".",".",".","AtP","y",NA,NA,NA,"Native",1735,"12.2c. Phalaridenion arundinaceae","Odontites viscosus","Odontites viscosus subsp. granatensis (Boiss.) Bolliger","Odontites","","viscosus","subsp.","granatensis","(Boiss.) Bolliger","Orobanchaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,3,6,6
"+","Odontites viscosus subsp. granatensis (Boiss.) Bolliger",".","Orobanchaceae",".","Therophyte","Odontites viscosus subsp. granatensis",".","Odontites","viscosus","subsp.","granatensis","(Boiss.) Bolliger",".",".",".",".",".",NA,NA,NA,NA,"Native",1734,"En Festuco hystricis-Ononidetea striata","Odontites viscosus","Odontites viscosus subsp. granatensis (Boiss.) Bolliger","Odontites","","viscosus","subsp.","granatensis","(Boiss.) Bolliger","Orobanchaceae","Lamiales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,3,6,6
"+","Oenanthe crocata L.",".","Apiaceae",".","Hemicryptophyte","Oenanthe crocata",".","Oenanthe","crocata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1736,"12. Magnocarici elatae-Phragmitetea australis","Oenanthe crocata",NA,"Oenanthe","","crocata","","","L.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",8,4,6,5,5,6
"+","Omphalodes linifolia (L.) Moench",".","Boraginaceae",".","Therophyte","Omphalodes linifolia",".","Omphalodes","linifolia",NA,NA,"(L.) Moench",".",".",".",".",".",NA,NA,NA,NA,"Native",1740,"43.4. Linarion triornithophorae","Omphalodes linifolia","Omphalodes linifolia (L.) Moench","Omphalodes","","linifolia","","","(L.) Moench","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Omphalodes nitida  (Willd.) Hoffmanns. & Link.",".","Boraginaceae",".","Hemicryptophyte","Omphalodes nitida",".","Omphalodes","nitida",NA,NA,"(Willd.) Hoffmanns. & Link.",".",".",".",".",".",NA,NA,NA,NA,"Native",1741,"52.9. Plantagini discoloris-Thymion mastigophori","Omphalodes nitida","Omphalodes nitida Hoffmanns. & Link","Omphalodes","","nitida","","","Hoffmanns. & Link","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",7,4,5,5,5,5
"+","Onobrychis reuteri Leresche",".","Leguminosae",".","Chamaephyte","Onobrychis reuteri",".","Onobrychis","reuteri",NA,NA,"Leresche",".",".",".",".",".",NA,NA,NA,NA,"Native",1742,".","Onobrychis reuteri","Onobrychis reuteri Leresche","Onobrychis","","reuteri","","","Leresche","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,4,7,6
"+","Onobrychis supina (Vill.) DC.","?","Leguminosae",".","Hemicryptophyte","Onobrychis supina","All available records correspond to eastern marginal UTM cells, it still needs to be confirmed.","Onobrychis","supina",NA,NA,"(Vill.) DC.",".",".",".",".",".",NA,NA,NA,"LC: No estoy seguro de que entre en la subprovincia, pero desde luego se queda muy cerca por el este.","Native",1744,"51a. Brometalia erecti","Onobrychis supina","Onobrychis supina (Vill.) DC.","Onobrychis","","supina","","","(Vill.) DC.","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Ononis cristata Mill.",".","Leguminosae",".","Chamaephyte","Ononis cristata",".","Ononis","cristata",NA,NA,"Mill.",".",".",".",".",".",NA,NA,NA,NA,"Native",1746,"64a. Rosmarinetalia officinalis","Ononis cristata","Ononis cristata Mill.","Ononis","","cristata","","","Mill.","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Ononis pusilla L.",".","Leguminosae",".","Chamaephyte","Ononis pusilla",".","Ononis","pusilla",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1749,"50c. Trachynietalia dystachiae","Ononis pusilla","Ononis pusilla L.","Ononis","","pusilla","","","L.","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",4,5,8,3,7,6
"+","Ononis reclinata L.",".","Leguminosae",".","Therophyte","Ononis reclinata",".","Ononis","reclinata",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1750,"51a. Brometalia erecti","Ononis reclinata","Ononis reclinata L.","Ononis","","reclinata","","","L.","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",4,4,8,4,6,7
"+","Ononis spinosa subsp. spinosa L.",".","Leguminosae",".","Hemicryptophyte","Ononis spinosa subsp. spinosa",".","Ononis","spinosa","subsp.","spinosa","L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1751,"51. Festuco valesiacae-Brometea erecti","Ononis spinosa","Ononis spinosa L.","Ononis","","spinosa","","","L.","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,4,6,6
"+","Ononis striata Gouan",".","Leguminosae",".","Chamaephyte","Ononis striata",".","Ononis","striata",NA,NA,"Gouan",".",".",".",".",".",NA,NA,NA,NA,"Native",1753,"34B. Onopordenea acanthii","Ononis striata","Ononis striata Gouan","Ononis","","striata","","","Gouan","Fabaceae","Fabales","Magnoliopsida","Superrosids","Angiosperms",4,5,8,3,7,6
"+","Onopordum acanthium L.",".","Compositae",".","Hemicryptophyte","Onopordum acanthium",".","Onopordum","acanthium",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1754,"60. Nardetea strictae","Onopordum acanthium","Onopordum acanthium L.","Onopordum","","acanthium","","","L.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,6,7,6
"+","Ophioglossum azoricum C. Presl",".","Ophioglossaceae",".","Geophyte","Ophioglossum azoricum",".","Ophioglossum","azoricum",NA,NA,"C. Presl",".",".",".",".",".",NA,NA,NA,NA,"Native",1755,"9a. Isoetetalia","Ophioglossum azoricum","Ophioglossum azoricum C. Presl","Ophioglossum","","azoricum","","","C. Presl","Ophioglossaceae","Ophioglossales","Polypodiopsida","Pteridophytes","Pteridophytes",NA,NA,NA,NA,NA,NA
"+","Ophioglossum lusitanicum L.",".","Ophioglossaceae",".","Geophyte","Ophioglossum lusitanicum",".","Ophioglossum","lusitanicum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1756,"59.1. Molinion caeruleae","Ophioglossum lusitanicum","Ophioglossum lusitanicum L.","Ophioglossum","","lusitanicum","","","L.","Ophioglossaceae","Ophioglossales","Polypodiopsida","Pteridophytes","Pteridophytes",NA,NA,NA,NA,NA,NA
"+","Ophioglossum vulgatum L.",".","Ophioglossaceae",".","Geophyte","Ophioglossum vulgatum",".","Ophioglossum","vulgatum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1757,"51. Festuco valesiacae-Brometea erecti","Ophioglossum vulgatum","Ophioglossum vulgatum L.","Ophioglossum","","vulgatum","","","L.","Ophioglossaceae","Ophioglossales","Polypodiopsida","Pteridophytes","Pteridophytes",6,5,7,5,6,6
"+","Ophrys apifera Huds.",".","Orchidaceae",".","Geophyte","Ophrys apifera",".","Ophrys","apifera",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,NA,"Native",1758,"51. Festuco valesiacae-Brometea erecti","Ophrys apifera","Ophrys apifera Huds.","Ophrys","","apifera","","","Huds.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,7,4,6,6
"+","Ophrys fusca Link",".","Orchidaceae",".","Geophyte","Ophrys fusca",".","Ophrys","fusca",NA,NA,"Link",".",".",".",".",".",NA,NA,NA,NA,"Native",1759,".","Ophrys fusca","Ophrys fusca Link","Ophrys","","fusca","","","Link","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,4,7,3,6,6
"+","Ophrys insectifera L.",".","Orchidaceae",".","Geophyte","Ophrys insectifera",".","Ophrys","insectifera",NA,NA,"L.",".",".",".",".","AtP","y",NA,NA,"LC. Añadir Ophrys lutea (http://ww2.bgbm.org/EuroPlusMed/PTaxonDetail.asp?NameId=47277&PTRefFk=8000000). BJA: añadida","Native",1761,"51. Festuco valesiacae-Brometea erecti","Ophrys insectifera","Ophrys insectifera L.","Ophrys","","insectifera","","","L.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Ophrys lutea Cav.",".","Orchidaceae",".","Geophyte","Ophrys lutea",".","Ophrys","lutea",NA,NA,"Cav.",".",".",".",".",".",NA,NA,NA,NA,"Native - new",2909,".","Ophrys lutea","Ophrys lutea Cav.","Ophrys","","lutea","","","Cav.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Ophrys scolopax Cav.",".","Orchidaceae",".","Geophyte","Ophrys scolopax",".","Ophrys","scolopax",NA,NA,"Cav.",".",".",".",".",".",NA,NA,NA,NA,"Native",1762,"52. Festuco hystricis-Ononidetea striatae","Ophrys scolopax","Ophrys scolopax Cav.","Ophrys","","scolopax","","","Cav.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,4,8,4,6,6
"+","Ophrys sphegodes subsp. sphegodes Mill.",".","Orchidaceae",".","Geophyte","Ophrys sphegodes subsp. sphegodes",".","Ophrys","sphegodes","subsp.","sphegodes","Mill.",".",".",".",".",".",NA,NA,NA,"LC: Hay que añadir, además de la típica, las que Euro+Med admite como subsp. atrata (en la que mete la O. incubacea) y subsp. passionis (http://ww2.bgbm.org/EuroPlusMed/PTaxonDetail.asp?NameId=5444&PTRefFk=8000000). BJA: añadidas","Native",1763,"56.1. Teucrio pseudochamaepityos-Brachypodion retusi","Ophrys sphegodes","Ophrys sphegodes Mill.","Ophrys","","sphegodes","","","Mill.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,7,3,7,6
"+","Ophrys sphegodes subsp. passionis (Sennen) Sanz & Nuet",".","Orchidaceae",".","Geophyte","Ophrys sphegodes subsp. passionis",".","Ophrys","sphegodes","subsp.","passionis","(Sennen) Sanz & Nuet",".",".",".",".",".",NA,NA,NA,NA,"Native - new",2911,".","Ophrys sphegodes","Ophrys sphegodes subsp. passionis (Sennen) Sanz & Nuet","Ophrys","","sphegodes","subsp.","passionis","(Sennen) Sanz & Nuet","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,7,3,7,6
"+","Ophrys sphegodes subsp. litigiosa (E. G. Camus) Bech.",".","Orchidaceae",".","Geophyte","Ophrys sphegodes subsp. litigiosa",".","Ophrys","sphegodes","subsp.","litigiosa","(E. G. Camus) Bech.",".",".",".",".",".",NA,NA,NA,NA,"Native - new",NA,".","Ophrys sphegodes","Ophrys sphegodes subsp. araneola (Rchb.) M.Laínz","Ophrys","","sphegodes","subsp.","araneola","(Rchb.) M.Laínz","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,7,3,7,6
"+","Ophrys sphegodes subsp. atrata (Rchb. f.) A. Bolòs",".","Orchidaceae",".","Geophyte","Ophrys sphegodes subsp. atrata",".","Ophrys","sphegodes","subsp.","atrata","(Rchb. f.) A. Bolòs",".",".",".",".",".",NA,NA,NA,NA,"Native - new",2910,".","Ophrys sphegodes","Ophrys sphegodes subsp. atrata (Rchb.f.) A.Bolòs","Ophrys","","sphegodes","subsp.","atrata","(Rchb.f.) A.Bolòs","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,7,3,7,6
"+","Ophrys tenthredinifera Willd.",".","Orchidaceae",".","Geophyte","Ophrys tenthredinifera",".","Ophrys","tenthredinifera",NA,NA,"Willd.",".",".",".",".",".",NA,NA,NA,NA,"Native",1764,"40.4. Balloto foetidae-Conion maculati","Ophrys tenthredinifera","Ophrys tenthredinifera Willd.","Ophrys","","tenthredinifera","","","Willd.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,4,8,3,5,6
"+","Orchis anthropophora (L.) All.",".","Orchidaceae",".","Geophyte","Orchis anthropophora",".","Orchis","anthropophora",NA,NA,"(L.) All.",".",".",".",".",".",NA,NA,NA,NA,"Native",1766,"51b. Brachypodietalia phoenicoidis","Orchis anthropophora","Orchis anthropophora (L.) All.","Orchis","","anthropophora","","","(L.) All.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,8,3,7,6
"+","Orchis italica Poir.",".","Orchidaceae",".","Geophyte","Orchis italica",".","Orchis","italica",NA,NA,"Poir.",".",".",".",".",".",NA,NA,NA,NA,"Native",1767,"76a. Fagetalia sylvaticae","Orchis italica","Orchis italica Poir.","Orchis","","italica","","","Poir.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Orchis mascula subsp. laxifloriformis (L.) L.",".","Orchidaceae",".","Geophyte","Orchis mascula subsp. laxifloriformis",".","Orchis","mascula",NA,NA,"(L.) L.",".",".",".",".",".",NA,NA,NA,"RA: Podemos añadir Orchis mascula subsp. olbiensis reconocida en Euro+Med como especie Orchis olbiensis Reut. ex Gren. Aunque Flora Iberica mete todo a O. mascula sin rangos subespecíficos. LC: Según Javier Benito Ayuso (cuya magnífica tesis, mientras se convierte en libro y no, podéis consultar en http://roderic.uv.es/handle/10550/59567 [son casi 500 MB, pero vale mucho la pena]) la olbiensis tiene entidad taxonómica, pero no es cantábrica. Él mismo me dijo que al menos las formas pálidas y paucifloras de Somiedo que se han llamado olbiensis entran mejor en la órbita de la mascula... LC: Una cosa es Orchis mascula y otra Orchis provincialis, y las dos son orocantábricas.BJA. habiendo revisión reciente, casi mejor que la seguimos (hasta que alguien demuestre que O. olbiensis está en el territorio). Añado también O. provincialis, hubo confusión por sinonimia cruzada en Euro+Med","Native",1770,"51. Festuco valesiacae-Brometea erecti","Orchis mascula","Orchis mascula (L.) L.","Orchis","","mascula","","","(L.) L.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,5,7,4,6,5
"+","Orchis mascula Rivas Goday & B. Rodr.",".","Orchidaceae",".","Geophyte","Orchis mascula",".","Orchis","mascula","subsp.","laxifloriformis","Rivas Goday & B. Rodr.",".",".",".",".",".",NA,NA,NA,NA,"Native",1768,"76a. Fagetalia sylvaticae","Orchis mascula","Orchis mascula subsp. laxifloriformis Rivas Goday & B.Rodr.","Orchis","","mascula","subsp.","laxifloriformis","Rivas Goday & B.Rodr.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,5,7,4,6,5
"+","Orchis olbiensis Reut. ex Gren.",".","Orchidaceae",".","Geophyte","Orchis olbiensis",".","Orchis","olbiensis",NA,NA,"Reut. ex Gren.",".",".",".",".",".",NA,NA,NA,NA,"Native - new",NA,".","Orchis olbiensis","Orchis olbiensis Reut. ex Gren.","Orchis","","olbiensis","","","Reut. ex Gren.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Orchis pallens L.",".","Orchidaceae",".","Geophyte","Orchis pallens",".","Orchis","pallens",NA,NA,"L.",".",".",".",".","AtP","y",NA,NA,NA,"Native",1769,"EnFestuco hystricis-Ononidetea striatae y Molinio-Arrhenatheretea","Orchis pallens","Orchis pallens L.","Orchis","","pallens","","","L.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,5,6,6,6,5
"+","Orchis provincialis Balb. ex Lam. & DC.",".","Orchidaceae",".","Geophyte","Orchis provincialis",".","Orchis","provincialis",NA,NA,"Balb. ex Lam. & DC.",".",".",".",".",".",NA,"LESPRE",NA,NA,"Native - new",2912,".","Orchis provincialis","Orchis provincialis Balb. ex Lam. & DC.","Orchis","","provincialis","","","Balb. ex Lam. & DC.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
