Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
Artemisia absinthium,  ---,  ---,  ---,0.9,  ---,7.1,13.8,  ---,  ---,3.5,  ---,  ---,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0
Galium saxatile aggr.,  ---,  ---,6.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Ranunculus parviflorus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.6,  ---,11.9,  ---,  ---,  ---,  ---,7.6,  ---,  ---,  ---,1.3
Symphytum tuberosum,26.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Salix purpurea,  ---,  ---,  ---,  ---,11.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6
Scolymus hispanicus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.1,  ---,  ---,  ---,  ---,24.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Ulmus minor,  ---,  ---,  ---,3,  ---,  ---,  ---,  ---,25.5,  ---,  ---,  ---,  ---,0.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Trifolium striatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.7,  ---,  ---
Melittis melissophyllum,7.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Linaria amethystea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,  ---,  ---,  ---,  ---,29.6,  ---,  ---,  ---,  ---
Trifolium angustifolium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.1,13.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Asperugo procumbens,  ---,  ---,28.4,  ---,  ---,  ---,1.5,  ---,  ---,  ---,  ---,  ---,  ---,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Chaerophyllum aureum,  ---,  ---,  ---,17.7,  ---,  ---,1.5,  ---,  ---,  ---,  ---,  ---,  ---,4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.6,  ---,0.6
Lactuca serriola,  ---,  ---,  ---,0.5,  ---,12,  ---,  ---,  ---,10.6,10.5,  ---,  ---,  ---,6.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4,  ---,4.3
Digitalis parviflora,  ---,  ---,28.2,  ---,  ---,  ---,4.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Aphanes australis,  ---,9.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,22.9,  ---,  ---,  ---,  ---
Lepidium draba,  ---,  ---,  ---,0.7,  ---,22.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.3,  ---,  ---,  ---,  ---,4.5,  ---,  ---
Agrostis castellana,  ---,  ---,  ---,2.8,  ---,  ---,7.2,3.6,  ---,3.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.3,  ---,0.6,  ---,0.5
Rhinanthus minor,  ---,  ---,20.5,6.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5,  ---,  ---
Bromus racemosus,  ---,  ---,20.5,  ---,  ---,  ---,1.5,  ---,7.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6,  ---,  ---
Panicum repens,  ---,  ---,  ---,  ---,17.2,  ---,  ---,  ---,  ---,3.1,  ---,  ---,  ---,  ---,  ---,10.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carex pendula,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.3,  ---,  ---,  ---,  ---,3.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.6
Malva tournefortiana aggr.,  ---,  ---,  ---,  ---,  ---,22.1,  ---,  ---,  ---,  ---,5.7,  ---,  ---,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.3
Myosotis arvensis,  ---,  ---,  ---,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---,  ---,  ---,2.1,15.2,  ---,9.4,  ---,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---
Hyoscyamus niger,  ---,  ---,  ---,  ---,  ---,29.7,1.4,  ---,  ---,  ---,  ---,  ---,  ---,0.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Allium vineale,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---,  ---,  ---,  ---,24.5,  ---,  ---,  ---,  ---
Medicago polymorpha,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.7,27,  ---,  ---,  ---,  ---,  ---,6.7,  ---,  ---,  ---,  ---,1.1,  ---,16.8,  ---,3.4
Sonchus tenerrimus,  ---,  ---,  ---,0.6,  ---,  ---,  ---,13.1,  ---,  ---,  ---,  ---,5.7,0.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.4,  ---,5.9
Arenaria montana,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,22.4,  ---,0.3,6.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4
Homalothecium sericeum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.9,  ---,  ---,  ---,  ---,12.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.6
Carduus pycnocephalus,  ---,  ---,  ---,  ---,  ---,21.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.3,  ---,6.5
Cornus sanguinea,  ---,  ---,  ---,4.6,  ---,  ---,  ---,  ---,23.7,3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Ranunculus arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.1,  ---,2.1,  ---,  ---,12.5,  ---,  ---,  ---,10.6
Achillea odorata,  ---,  ---,12.7,  ---,  ---,  ---,1.3,  ---,15.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9,  ---,  ---,  ---,  ---
Spergularia purpurea,  ---,  ---,  ---,  ---,10.5,  ---,  ---,  ---,  ---,2.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.5,0.3,  ---,6.7,  ---,  ---,  ---,2.7
Kickxia spuria,  ---,  ---,  ---,  ---,16.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9
Arenaria serpyllifolia,  ---,8.5,5.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.5,1.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,  ---,  ---,  ---,  ---
Circaea lutetiana,  ---,  ---,  ---,0.5,  ---,  ---,  ---,  ---,14.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17,  ---,  ---,  ---
Crepis vesicaria,12.1,0.4,  ---,  ---,  ---,10.6,  ---,  ---,  ---,  ---,9.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6,  ---,0.6
Cirsium pyrenaicum aggr.,  ---,  ---,  ---,  ---,  ---,13.2,17,  ---,  ---,2.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Aphanes arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.6,  ---,9.4,  ---,  ---,30,  ---,  ---,  ---,5.4
Senecio gallicus,  ---,  ---,5.3,0.4,  ---,5.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---,  ---,  ---,  ---,  ---,0.2,  ---,14.1,  ---,  ---,  ---,0.8
Fragaria vesca,  ---,  ---,  ---,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,3.4,6.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.5,  ---,  ---,1.4
Melissa officinalis,6.7,13,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.7,  ---,  ---,  ---,  ---,6.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.4
Blackstonia perfoliata aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,19.2,  ---,  ---,12,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.1
Elytrigia repens,  ---,  ---,  ---,17.6,  ---,  ---,  ---,  ---,  ---,2.6,5.1,  ---,  ---,1.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.3,  ---,2.5
Ulex europaeus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14.3,  ---,5,  ---,  ---,0.1,  ---,9.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5
Hypericum androsaemum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3,29.6,  ---,  ---,  ---,1.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Helleborus viridis,6.4,  ---,18.1,  ---,  ---,  ---,6.1,  ---,  ---,  ---,  ---,  ---,  ---,3.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Aira caryophyllea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.3,  ---,  ---,4.9,  ---,  ---,15.7,  ---,  ---,  ---,  ---
Ranunculus muricatus,  ---,7.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.6,  ---,  ---,  ---,  ---,  ---,2.6,  ---,  ---,  ---,  ---,6,  ---,  ---,  ---,  ---
Silene dioica,  ---,  ---,4.9,4,  ---,  ---,  ---,  ---,6.1,  ---,11.1,  ---,  ---,3.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2,  ---,0.1
Festuca rubra aggr.,  ---,  ---,11.3,0.3,  ---,  ---,0.9,  ---,  ---,  ---,  ---,  ---,4.9,6.2,  ---,  ---,  ---,  ---,4.8,  ---,  ---,  ---,  ---,  ---,  ---,0.1
Mentha longifolia,  ---,  ---,  ---,0.3,  ---,  ---,3.4,  ---,21.1,  ---,  ---,  ---,1.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---,3.3
Alnus glutinosa aggr.,  ---,  ---,  ---,0.2,3.9,  ---,  ---,  ---,13.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.5,  ---,  ---,0.1
Crepis capillaris,  ---,  ---,  ---,  ---,  ---,  ---,0.6,0.4,  ---,11.2,24.8,6.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.3,13.8,2.9,  ---,3.4
Piptatherum miliaceum,  ---,  ---,  ---,0.2,  ---,  ---,  ---,  ---,  ---,25.6,4.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.8
Sedum forsterianum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,18.8,  ---,  ---,19.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Chaerophyllum hirsutum,  ---,  ---,10.6,15.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1
Silene vulgaris,  ---,  ---,4.5,3.5,  ---,11.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.4,  ---,1.6,  ---,3
Lonicera periclymenum,  ---,2.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,18.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14.5,  ---,  ---,  ---
Crithmum maritimum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.4,  ---,  ---,  ---,  ---,13.2,  ---,  ---,18.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cirsium odontolepis,  ---,  ---,  ---,  ---,  ---,24.1,14.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.3
Agrimonia eupatoria,  ---,  ---,  ---,6.7,  ---,  ---,0.6,  ---,5.3,16.5,4.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Persicaria dubia,  ---,  ---,  ---,  ---,8.3,  ---,  ---,  ---,26.1,  ---,  ---,  ---,  ---,2.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Epilobium parviflorum,  ---,  ---,  ---,  ---,10.2,  ---,  ---,  ---,19.6,20.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Oxalis pes-caprae,  ---,19.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.9,  ---,  ---,  ---
Filago minima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.8,  ---,  ---,25.1,  ---,  ---,  ---,1.2
Torilis nodosa,  ---,2.4,  ---,  ---,  ---,10.8,0.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.9,  ---,  ---,  ---,  ---,  ---,  ---,1.1,  ---,7.5,  ---,  ---
Senecio lividus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.9,  ---,1.9,  ---,  ---,  ---,  ---,17.1,  ---,  ---,  ---,1.7
Holcus mollis,  ---,  ---,  ---,1.5,  ---,  ---,  ---,  ---,5,  ---,3.8,  ---,  ---,1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,20.9,  ---,  ---,  ---,1.7
Papaver dubium,  ---,  ---,4,1.5,  ---,4.4,0.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.8,  ---,1.9,  ---,  ---,  ---,  ---,5.8,  ---,2.8,  ---,1.6
Lysimachia vulgaris,  ---,  ---,  ---,  ---,17.6,  ---,  ---,  ---,4.9,  ---,  ---,  ---,  ---,1,  ---,  ---,  ---,12.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1
Ononis spinosa,  ---,  ---,9.6,  ---,  ---,10.5,13.7,  ---,  ---,1.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Centranthus calcitrapae,  ---,2.3,  ---,  ---,  ---,  ---,  ---,2.1,  ---,  ---,  ---,  ---,  ---,  ---,11.2,  ---,1.8,  ---,1,  ---,  ---,11.3,  ---,1.2,  ---,1.1
Verbascum thapsus,  ---,  ---,3.9,6.2,  ---,  ---,7,  ---,  ---,1.7,9.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.9
Phleum pratense,  ---,  ---,15.1,  ---,  ---,4.3,  ---,  ---,  ---,5.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1,3.8,  ---,  ---,4.2,  ---,0.6
Lotus pedunculatus,  ---,  ---,12,  ---,16.1,  ---,  ---,  ---,10.3,  ---,4.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.1,  ---,  ---,0.1
Clinopodium vulgare,4.8,  ---,3.7,1.3,  ---,  ---,  ---,  ---,4.6,4.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.8,  ---,  ---,0
Carex divulsa,11.4,  ---,  ---,1.3,  ---,  ---,  ---,  ---,  ---,4.9,8.8,  ---,  ---,3.4,  ---,  ---,  ---,  ---,0.9,  ---,  ---,  ---,  ---,  ---,  ---,2.8
Centaurea scabiosa,  ---,  ---,  ---,1.2,  ---,15.7,23.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9
Epilobium tetragonum,4.7,  ---,  ---,1.2,2.7,  ---,  ---,5.4,  ---,21.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9
Anthemis cotula,  ---,  ---,  ---,  ---,2.7,3.9,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,11.6,  ---,0.8,  ---,4.3,  ---,3.8,  ---,2.7
Malva moschata,4.6,  ---,14.2,  ---,  ---,  ---,4.4,  ---,  ---,1.4,8.6,  ---,  ---,2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Glechoma hederacea,23.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.4,  ---,  ---,  ---,  ---,9.7,  ---,  ---,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lotus corniculatus,  ---,  ---,0.8,3.3,  ---,  ---,  ---,  ---,  ---,17.2,7.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.8,  ---,  ---,9.5
Anthyllis vulneraria,  ---,  ---,14,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.4,  ---,  ---,24.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Anacyclus clavatus,  ---,  ---,  ---,  ---,  ---,9.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.2,  ---,23.3,  ---,3.5
Sedum dasyphyllum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23.1,  ---,  ---,  ---,  ---,21.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Geranium dissectum,12.5,4.7,  ---,11.8,  ---,  ---,  ---,  ---,  ---,  ---,27.3,  ---,  ---,4,5.5,  ---,16.8,  ---,  ---,  ---,  ---,  ---,  ---,4.1,  ---,1
Poa bulbosa,  ---,  ---,3.3,  ---,  ---,  ---,0.1,5.2,  ---,  ---,  ---,  ---,  ---,  ---,4.1,  ---,  ---,  ---,13.6,3.4,  ---,3.3,  ---,  ---,  ---,1.6
Anisantha madritensis,  ---,  ---,  ---,3.9,  ---,  ---,  ---,1.6,  ---,4.4,3.1,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.3,  ---,6
Tussilago farfara,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---,16.3,23.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.3
Cladanthus mixtus,  ---,  ---,  ---,  ---,24.4,  ---,  ---,  ---,  ---,  ---,4.1,  ---,  ---,  ---,  ---,20.8,  ---,  ---,  ---,  ---,  ---,6.5,  ---,  ---,  ---,  ---
Vicia cracca,4.3,  ---,3.2,  ---,6.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.3,  ---,  ---,  ---,  ---,4.8,  ---,9,  ---,5.1
Dioscorea communis,  ---,23.8,  ---,2.4,  ---,3.6,  ---,  ---,4.1,  ---,  ---,  ---,  ---,0.5,3.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Potentilla reptans,  ---,  ---,  ---,1.2,2.7,  ---,  ---,  ---,8.3,20.1,11.3,  ---,  ---,1,  ---,  ---,  ---,2.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.2
Cirsium palustre,  ---,  ---,3.1,0.9,  ---,  ---,2,  ---,22,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,11.6,  ---,  ---,  ---
Stachys sylvatica,10.2,  ---,  ---,6.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15,9.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Poa nemoralis,  ---,  ---,17.8,  ---,  ---,  ---,  ---,  ---,9.6,  ---,  ---,  ---,  ---,5.1,9.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Avena sterilis,  ---,  ---,  ---,5,  ---,3.3,  ---,  ---,  ---,10.1,7.6,  ---,  ---,0.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,  ---,8.4,  ---,1.7
Fumaria muralis,  ---,19.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.7,  ---,  ---,  ---,  ---,  ---,22.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Veronica anagallis-aquatica,  ---,  ---,  ---,  ---,27,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,22.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Tanacetum parthenium,  ---,  ---,  ---,  ---,  ---,3.2,  ---,  ---,  ---,  ---,2.7,  ---,  ---,5,25.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5,  ---,2.9
Chaerophyllum temulum,  ---,8.3,  ---,4.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.4,  ---,  ---,  ---,  ---,0.3,  ---,  ---,  ---,10.8,  ---,  ---,2
Equisetum arvense,1.2,  ---,  ---,  ---,17.5,  ---,  ---,  ---,17.2,5.5,  ---,  ---,  ---,2.8,  ---,  ---,6.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.3
Aphanes microcarpa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,11.8,  ---,  ---,  ---,  ---,  ---,2.9,  ---,4.9,  ---,  ---,23.7,  ---,  ---,  ---,1.5
Linum bienne,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,21.2,16.4,  ---,  ---,  ---,3.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.3
Agrostis capillaris,  ---,  ---,  ---,  ---,  ---,  ---,4.8,  ---,1.9,  ---,10.8,12.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23,  ---,  ---,0.4
Rubus caesius,26,  ---,  ---,0.5,5.7,  ---,  ---,  ---,3.3,  ---,  ---,  ---,  ---,3.4,  ---,  ---,  ---,  ---,0.1,  ---,  ---,  ---,  ---,  ---,  ---,1
Valerianella locusta,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9,  ---,  ---,  ---,  ---,4.7,2.3,8.4,  ---,22.4,  ---,  ---,  ---,  ---,2.4,  ---,  ---,  ---,  ---
Coincya monensis aggr.,  ---,  ---,2.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.1,  ---,0,  ---,28.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Centaurea calcitrapa,  ---,  ---,  ---,  ---,  ---,22.6,8.5,  ---,  ---,3.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---,  ---,  ---,  ---,8.7,  ---,0.1
Vulpia myuros,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6,6.6,  ---,  ---,  ---,  ---,5.3,  ---,  ---,13.5,2.4,  ---,0.8,  ---,7.4,  ---,2.4
Centaurea nigra,  ---,  ---,  ---,2.9,  ---,  ---,  ---,  ---,13.7,0.5,24.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.7
Draba verna,  ---,  ---,2.3,  ---,  ---,  ---,  ---,0.8,  ---,  ---,  ---,  ---,  ---,  ---,2.9,  ---,11.2,  ---,11.1,  ---,  ---,11.8,  ---,  ---,  ---,0.4
Cynosurus echinatus,  ---,  ---,6.7,  ---,  ---,  ---,  ---,  ---,3,8.8,2.1,  ---,  ---,  ---,13.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.4,  ---,  ---
Sanguisorba minor,  ---,  ---,15.6,  ---,  ---,2.5,  ---,0.8,  ---,6,  ---,  ---,4.4,2,2.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---,  ---
Pastinaca sativa aggr.,13.5,  ---,  ---,8.8,  ---,7.1,9.5,  ---,  ---,3,  ---,  ---,  ---,0.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Clematis vitalba,8.2,  ---,  ---,7.5,  ---,  ---,  ---,  ---,23.2,3,  ---,  ---,  ---,1.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2
